,,city,color,country,located_in,movie,movie_category,user,university
7,10000,0.3359401226043701,0.06459212303161621,0.06304216384887695,0.32874011993408203,0.15200018882751465,0.06846165657043457,7.7910497188568115,0.1914505958557129
7,25000,0.3630192279815674,0.0503690242767334,0.06146073341369629,0.3797633647918701,0.16157817840576172,0.05009174346923828,19.319894790649414,0.27016115188598633
7,50000,0.37164807319641113,0.058267831802368164,0.04435586929321289,0.3404660224914551,0.26322245597839355,0.011714696884155273,39.25898265838623,0.23645806312561035
7,100000,0.35230398178100586,0.0511319637298584,0.05327463150024414,0.3554356098175049,0.1423799991607666,0.07435107231140137,78.2863621711731,0.2702972888946533
8,5000,0.27806758880615234,0.05008673667907715,0.05620074272155762,0.2751598358154297,0.16900849342346191,0.062407493591308594,4.045422792434692,0.21252751350402832
8,10000,0.3401906490325928,0.0834953784942627,0.06621289253234863,0.3187704086303711,0.15790891647338867,0.052169084548950195,7.881464958190918,0.203338623046875
8,25000,0.352924108505249,0.050527334213256836,0.05682778358459473,0.35135340690612793,0.14889073371887207,0.06650972366333008,19.445267915725708,0.276630163192749
8,50000,0.37737011909484863,0.050724029541015625,0.05016684532165527,0.3749368190765381,0.13469219207763672,0.05582475662231445,39.39935922622681,0.25774478912353516
8,100000,0.3661046028137207,0.04918050765991211,0.06167173385620117,0.35996031761169434,0.22297954559326172,0.08549213409423828,78.98222732543945,0.27324962615966797
9,5000,0.2844719886779785,0.30948305130004883,0.056601762771606445,0.29215240478515625,0.3998599052429199,0.1479947566986084,4.143211603164673,0.1901392936706543
9,10000,0.3376634120941162,0.051630258560180664,0.0630645751953125,0.4547123908996582,0.1434023380279541,0.07199358940124512,7.887168884277344,0.209197998046875
9,25000,0.36934804916381836,0.06632518768310547,0.04301333427429199,0.3001060485839844,0.1452922821044922,0.0671083927154541,19.57824683189392,0.2962615489959717
9,50000,0.36279749870300293,0.06287932395935059,0.06458568572998047,0.36003541946411133,0.15083765983581543,0.05170869827270508,38.405322313308716,0.28200840950012207
9,100000,0.3450791835784912,0.05836057662963867,0.04970741271972656,0.37662291526794434,0.2658843994140625,0.015764236450195312,80.3479175567627,0.2448108196258545
